"No.","Time","Source","Destination","Protocol","Length","Time to Live","Source Port","Destination Port","Info"
"473","12.449480","192.168.88.128","192.168.88.1","TCP","1514","128","3389","33611","3389  >  33611 [ACK] Seq=59629 Ack=3346 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"474","12.449498","192.168.88.128","192.168.88.1","TCP","1514","128","3389","33611","3389  >  33611 [ACK] Seq=61089 Ack=3346 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"475","12.449548","192.168.88.128","192.168.88.1","TCP","1514","128","3389","33611","3389  >  33611 [ACK] Seq=62549 Ack=3346 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"476","12.449559","192.168.88.128","192.168.88.1","TCP","1514","128","3389","33611","3389  >  33611 [ACK] Seq=64009 Ack=3346 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"477","12.449573","192.168.88.128","192.168.88.1","TPKT","259","128","3389","33611","Continuation"
"478","12.449763","192.168.88.128","192.168.88.1","TPKT","171","128","3389","33611","Continuation"
"479","12.449917","192.168.88.1","192.168.88.128","TCP","54","128","33611","3389","33611  >  3389 [ACK] Seq=3346 Ack=65791 Win=131328 Len=0"
"480","12.535873","192.168.88.1","192.168.88.128","TPKT","539","128","33611","3389","Continuation"
"481","12.635870","192.168.88.1","192.168.88.128","TPKT","795","128","33611","3389","Continuation"
"482","12.635995","192.168.88.128","192.168.88.1","TCP","54","128","3389","33611","3389  >  33611 [ACK] Seq=65791 Ack=4572 Win=64256 Len=0"
"483","12.737882","192.168.88.1","192.168.88.128","TPKT","747","128","33611","3389","Continuation"
"484","12.738030","192.168.88.128","192.168.88.1","TCP","54","128","3389","33611","3389  >  33611 [ACK] Seq=65791 Ack=5265 Win=65536 Len=0"
"485","12.848047","192.168.88.1","192.168.88.128","TPKT","555","128","33611","3389","Continuation"
"486","13.014813","192.168.88.1","192.168.88.128","TPKT","395","128","33611","3389","Continuation"
"487","13.015198","192.168.88.128","192.168.88.1","TCP","54","128","3389","33611","3389  >  33611 [ACK] Seq=65791 Ack=6107 Win=64768 Len=0"
"488","13.114444","192.168.88.1","192.168.88.128","TPKT","619","128","33611","3389","Continuation"
"489","13.222890","192.168.88.1","192.168.88.128","TPKT","795","128","33611","3389","Continuation"
"490","13.223067","192.168.88.128","192.168.88.1","TCP","54","128","3389","33611","3389  >  33611 [ACK] Seq=65791 Ack=7413 Win=65280 Len=0"
"491","13.332904","192.168.88.1","192.168.88.128","TPKT","475","128","33611","3389","Continuation"
"492","13.443057","192.168.88.1","192.168.88.128","TPKT","379","128","33611","3389","Continuation"
"493","13.443219","192.168.88.128","192.168.88.1","TCP","54","128","3389","33611","3389  >  33611 [ACK] Seq=65791 Ack=8159 Win=64512 Len=0"
"494","13.572545","192.168.88.1","192.168.88.128","TPKT","315","128","33611","3389","Continuation"
"495","13.587820","192.168.88.128","192.168.88.1","TCP","1514","128","3389","33611","3389  >  33611 [ACK] Seq=65791 Ack=8420 Win=64256 Len=1460 [TCP segment of a reassembled PDU]"
"496","13.587856","192.168.88.128","192.168.88.1","TCP","1514","128","3389","33611","3389  >  33611 [ACK] Seq=67251 Ack=8420 Win=64256 Len=1460 [TCP segment of a reassembled PDU]"
"497","13.587881","192.168.88.128","192.168.88.1","TPKT","1299","128","3389","33611","Continuation"
"498","13.588266","192.168.88.1","192.168.88.128","TCP","54","128","33611","3389","33611  >  3389 [ACK] Seq=8420 Ack=69956 Win=131328 Len=0"
"499","13.635018","192.168.88.1","192.168.88.128","TPKT","91","128","33611","3389","Continuation"
"500","13.652719","192.168.88.128","192.168.88.1","TCP","1514","128","3389","33611","3389  >  33611 [ACK] Seq=69956 Ack=8457 Win=64256 Len=1460 [TCP segment of a reassembled PDU]"
"501","13.652735","192.168.88.128","192.168.88.1","TCP","1514","128","3389","33611","3389  >  33611 [ACK] Seq=71416 Ack=8457 Win=64256 Len=1460 [TCP segment of a reassembled PDU]"
"502","13.652741","192.168.88.128","192.168.88.1","TCP","1514","128","3389","33611","3389  >  33611 [ACK] Seq=72876 Ack=8457 Win=64256 Len=1460 [TCP segment of a reassembled PDU]"
"503","13.652747","192.168.88.128","192.168.88.1","TCP","1514","128","3389","33611","3389  >  33611 [ACK] Seq=74336 Ack=8457 Win=64256 Len=1460 [TCP segment of a reassembled PDU]"
"504","13.652757","192.168.88.128","192.168.88.1","TPKT","1387","128","3389","33611","Continuation"
"505","13.652972","192.168.88.128","192.168.88.1","TCP","1514","128","3389","33611","3389  >  33611 [ACK] Seq=77129 Ack=8457 Win=64256 Len=1460 [TCP segment of a reassembled PDU]"
"506","13.652981","192.168.88.128","192.168.88.1","TCP","1514","128","3389","33611","3389  >  33611 [ACK] Seq=78589 Ack=8457 Win=64256 Len=1460 [TCP segment of a reassembled PDU]"
"507","13.652991","192.168.88.128","192.168.88.1","TCP","1514","128","3389","33611","3389  >  33611 [ACK] Seq=80049 Ack=8457 Win=64256 Len=1460 [TCP segment of a reassembled PDU]"
"508","13.653000","192.168.88.128","192.168.88.1","TCP","1514","128","3389","33611","3389  >  33611 [ACK] Seq=81509 Ack=8457 Win=64256 Len=1460 [TCP segment of a reassembled PDU]"
"509","13.653009","192.168.88.128","192.168.88.1","TCP","1514","128","3389","33611","3389  >  33611 [ACK] Seq=82969 Ack=8457 Win=64256 Len=1460 [TCP segment of a reassembled PDU]"
"510","13.653020","192.168.88.128","192.168.88.1","TPKT","935","128","3389","33611","Continuation"
"511","13.653272","192.168.88.128","192.168.88.1","TCP","1514","128","3389","33611","3389  >  33611 [ACK] Seq=85310 Ack=8457 Win=64256 Len=1460 [TCP segment of a reassembled PDU]"
"512","13.653281","192.168.88.128","192.168.88.1","TCP","1514","128","3389","33611","3389  >  33611 [ACK] Seq=86770 Ack=8457 Win=64256 Len=1460 [TCP segment of a reassembled PDU]"
